method,seed,step,elapsed_sec,mode_coverage,mode_tv,nearest_mode_distance,sliced_wasserstein
WGAN-GP,1,200,0.17199829407036304,1.0,0.75,0.7684143558365859,0.8127388240814059
WGAN-GP,1,400,0.3408634178340435,1.0,0.46624999999999994,0.8907748146951973,0.6421633792775887
WGAN-GP,1,800,0.6760648749768734,2.0,0.5297499999999999,0.9023711958217195,0.4845512554883512
WGAN-GP,1,1200,1.0102008748799562,3.0,0.44025000000000003,0.7812721852104604,0.43048455601035734
WGAN-GP,1,1500,1.261042209342122,4.0,0.407,0.709492139519999,0.49839119453346575
PTGAN-GP,1,0,0.0,0.0,0.5867499999999999,1.3259155307749597,0.8992402867819489
PTGAN-GP,1,50,0.045390039682388306,0.0,0.736,1.1746231344684261,0.8743327722252681
PTGAN-GP,1,100,0.09047095477581024,0.0,0.70925,1.0139669562214875,0.826527084316478
PTGAN-GP,1,200,0.1795822475105524,1.0,0.58725,1.0422937016256364,0.6819246298591352
PTGAN-GP,1,400,0.356587540358305,2.0,0.625,0.5852718936206487,0.5917627991140463
PTGAN-GP,1,800,0.7100436240434647,1.0,0.6225,0.904134113888328,0.571341037441976
PTGAN-GP,1,1200,1.0647304151207209,2.0,0.52225,0.6479683502818611,0.5126873264611573
PTGAN-GP,1,1500,1.3300866223871708,3.0,0.625,0.6851780569840277,0.9236368198873168
PTGAN-CP,1,0,0.0,0.0,0.5867499999999999,1.3259155307749597,0.8992402867819489
PTGAN-CP,1,50,0.03849216736853123,0.0,0.7455,1.1697876654575186,0.881970748636397
PTGAN-CP,1,100,0.07680345885455608,0.0,0.75,0.9916570123353169,0.8853723870445824
PTGAN-CP,1,200,0.15177654288709164,1.0,0.75,0.6408793794926141,0.889260735256057
PTGAN-CP,1,400,0.2991468347609043,2.0,0.75,0.5335606014502539,0.8596879747285011
PTGAN-CP,1,800,0.5902691651135683,3.0,0.3735,0.741191968388963,0.47815670573856744
PTGAN-CP,1,1200,0.8816881645470858,8.0,0.07774999999999999,0.5898333263612037,0.25865385348887043
PTGAN-CP,1,1500,1.1003522910177708,8.0,0.08275000000000002,0.5130833917102177,0.23430372433018193
WGAN-GP,2,0,0.0,0.0,0.62175,1.4142649770308848,0.930625002605642
WGAN-GP,2,50,0.043527042493224144,0.0,0.875,1.282572993477443,0.9039161015357944
WGAN-GP,2,100,0.08674091845750809,0.0,0.875,1.0268392190528912,0.8806933757052179
WGAN-GP,2,200,0.17187362723052502,0.0,0.7865,1.0397781024998316,0.8442774555227313
WGAN-GP,2,400,0.34081333689391613,0.0,0.784,0.871872988550569,0.9524788202860716
WGAN-GP,2,800,0.6777829639613628,1.0,0.659,1.0252089570468605,0.8202608866395598
WGAN-GP,2,1200,1.0137784238904715,2.0,0.7495,0.5729415462638551,0.9007733247639459
WGAN-GP,2,1500,1.2654166333377361,2.0,0.75,0.5355029720841248,0.8301687916570386
PTGAN-GP,2,0,0.0,0.0,0.69,1.3739125936658454,0.9286105121057799
PTGAN-GP,2,50,0.045822830870747566,0.0,0.75,1.315134968528975,0.9088208699787006
PTGAN-GP,2,100,0.09117687121033669,0.0,0.75,1.1294809055459105,0.8857531172984211
PTGAN-GP,2,200,0.18074549548327923,2.0,0.75,0.7535647342828353,0.8470086481566349
PTGAN-GP,2,400,0.35762761905789375,0.0,0.7384999999999999,1.0057879969614756,0.8141335151080017
PTGAN-GP,2,800,0.7091850768774748,2.0,0.75,0.6479903895475115,0.8053753451464918
PTGAN-GP,2,1200,1.0597452018409967,1.0,0.59575,0.8248237343794681,0.7023030895701986
PTGAN-GP,2,1500,1.3232959527522326,2.0,0.713,0.7583724293842274,0.920993354576211
PTGAN-CP,2,0,0.0,0.0,0.69,1.3739125936658454,0.9286105121057799
PTGAN-CP,2,50,0.038012249395251274,0.0,0.75,1.282521497548266,0.9075875842405564
PTGAN-CP,2,100,0.07607974857091904,0.0,0.75,1.0971109318921035,0.8881685352660307
PTGAN-CP,2,200,0.1501463744789362,2.0,0.75,0.7524881833001875,0.8344893580405738
PTGAN-CP,2,400,0.2963778730481863,1.0,0.5,0.9187909010147383,0.6581511849126555
PTGAN-CP,2,800,0.5869583301246166,2.0,0.5387500000000001,0.7330608886134931,0.3976404620394742
PTGAN-CP,2,1200,0.8771631643176079,8.0,0.09375,0.5666762242913508,0.26337749027388724
PTGAN-CP,2,1500,1.0947344563901424,8.0,0.09425,0.4949489798685801,0.22379550630321512
WGAN-GP,3,0,0.0,0.0,0.75,1.2414013144753653,0.9253345404150418
WGAN-GP,3,50,0.043248625472187996,0.0,0.835,1.0459369381673305,0.9096950866278515
WGAN-GP,3,100,0.08606487326323986,0.0,0.76675,1.068278252615114,0.8806225770540357
WGAN-GP,3,200,0.17092050053179264,0.0,0.75,0.7918133649875359,0.8760459696866391
WGAN-GP,3,400,0.3389171678572893,1.0,0.875,0.6437313770857827,0.9286476379647306
WGAN-GP,3,800,0.6730090416967869,1.0,0.796,0.5436526327170528,1.0235708402849315
WGAN-GP,3,1200,1.0076077487319708,1.0,0.875,0.5793088394218909,1.0847189501429588
WGAN-GP,3,1500,1.2589779570698738,1.0,0.75,0.9392593629609923,0.8034683357221211
PTGAN-GP,3,0,0.0,0.0,0.5670000000000001,1.348430326329556,0.8820101968619101
PTGAN-GP,3,50,0.04531537555158138,0.0,0.625,1.1966571406880209,0.8766373959810896
PTGAN-GP,3,100,0.0904480442404747,0.0,0.718,1.0253933997775093,0.8233590480605046
PTGAN-GP,3,200,0.17935383692383766,1.0,0.5,0.8372261481083215,0.6736585717308492
